name,headline,languages,location,rating_fide,rating_bullet,rating_blitz,rating_rapid,rate,about,playing_experience,teaching_experience,other_experience,best_skills,teaching_methodology,titles
GM Victor Mikhalevski,"I'm a very experienced coach with more than 35 years of coaching and great results of my students in Junior World, PanAmerican and European Championships ","['English (US), русский язык, עִבְרִית']",Beersheba,2565.0,None,2860,2403,None,"International Grandmaster Victor Mikhalevski, 51, from Israel ",I started playing chess at the age of 5 and I am still an active as a player.,"IM from 1993, GM from 1996",I teach chess online and offline,"I like both sharp positions with tactics and initiative, different types of endgames etc. I also compose studies and some of them won prizes in the study competitions.","When I start working with a new student I'm trying to find his weak and strong sides, mostly analyzing their games. Then I start working on their weaknesses not forgetting about other aspects of the game. ",GM
GM Luke McShane,None,['English (US)'],London,2680.0,2619,2677,None,None,"I'm 40 years old, living in Cambridge, England.  I have been nicknamed  the 'World's Strongest Amateur'.","I earned the Grandmaster title at the age of 16. My peak Fide rating is 2713, and I am proud to have competed against some of the world's best players. In classical chess, I have wins against Carlsen, Kramnik, and Aronian to my name. I have represented England on numerous occasions. In March 2019 I won an individual gold medal on board 2 at the World Team Championships in Astana.",Every individual deserves a unique approach. I use my experience to figure out what that should be.,None,None,Every individual deserves a unique approach. I use my experience to figure out what that should be.,GM
WGM Maria Malicka,None,"['Polski, English (US)']",Warsaw,2255.0,None,2361,None,None,"I am a 20 years old player from Poland with many years of experience. My greatest achievements include winning a silver Olympic medal and the title of women grandmaster. I have been learning from the best Polish trainers for many years, and now I would like to share this knowledge with others.","I have travelled all over the world for the last 10 years, and played in many different countries. Last 2 years I was playing in United States. I have played in most prestigious international tournaments.","I taught chess at school and in group classes for two years, I have experience in working with children.",None,"Since I am an active player, I am constantly dealing with tournament play, preparation and training. From my own experience, I know what to focus on in order to keep improving  and achieve the best results.",None,WGM
FM Sargis Manukyan,"For the last 3 years I have worked with students from 30 countries!!! I work in any time zone, come improve your level in chess with me!","['English (US), русский язык, Հայերեն']",Yerevan,2216.0,2711,2519,2534,None,"I am FIDE Master Sargis A. Manukyan 27 years old, from Armenia. ",None,In 2015 I started to give private and group lessons. ,None,My lessons cover all aspects of the game:,"It is crucial to analyze one's own games. I can help you with that, highlighting the typical mistakes you make, why you are making them and how to avoid doing so in the future. We can also play training games and analyzing them afterwards. I am going to teach you key strategic and endgame concepts and help you understand tactics deeply. We are going to look at famous games, as well as games from my own practice.",FM
IM Misha Bilous,None,"['English (US), українська, Deutsch']","Originally from Ukraine, based in Vienna",2423.0,2618,2544,None,None,"Hi there! My name is Misha Bilous. I am a 25-year-old International Master from Ukraine, Ukrainian champion U-20 in 2016. My current Elo rating is 2423. Besides my chess career,  I have obtained a bachelor's degree in pedagogy. I'm a Chessable author:","I have been playing for about 19 years, defeating many International Masters and Grandmasters in international tournaments. ","I have been teaching chess for over 7 years at school and online. I have obtained a bachelor's degree in pedagogy, which helps me find an individual approach to students. Since graduation, my complete focus has been on coaching, immersing myself in the world of chess.",None,None,I will broaden your game understanding and teach you to think unbiasedly. You will receive a personalized study plan designed for your level and playing style.,IM
FM Игорь Мизинов,None,['русский язык'],Санкт-Петербург / Ульяновск,None,2483,2327,2147,None,👋Привет! Я Мастер ФИДЕ Игорь Мизинов. ,None,🎓Преподаю шахматы детям(от 4ех лет) и взрослым от начинающих до уровня КМС более 7 лет.,None,🧠Разбор партий,"✅Опыт. Тренер должен иметь достаточный игровой и тренерский опыт в шахматах, чтобы помочь ученику развивать свои способности.",FM
IM Pavel Sevostianov," Тренер призерiв чемпiонатiв України,Світу,Европи серед дітей.Навчання українською або російською мовами. Від 500 грн./год(15 usd).Дякую за увагу!","['українська, русский язык']",Kyiv,2401.0,2557,2450,None,None,"Міжнародний майстер(IM),майстер спорту України.",-3 place in the club championship of Ukraine,None,None,None,None,IM
IM Adrian Petrisor,"“I am convinced, the way one plays chess always reflects the player’s personality. If something defines his character, then it will also define his way of playing.”","['Română, English (US)']",Timisoara,2404.0,None,2620,None,None,My name is Petrisor Adrian,"Romanian national champion - 4 times - U 12, U 14, U 16, U 20 ;",WORLD JUNIOR U 10 - Lacan David - WORLD CHAMPION ( 2022 ) ,Best skills,"I have great knowledge of the opening, middle game, and endgame.",First and foremost: I understand everyone is unique; I can tailor my teaching style to your individual needs. I want you to succeed; there is no one size fits all for chess coaching.,IM
IM Nikolai Aliavdin,None,['Polski'],None,None,2710,2617,2671,None,Hi I'm International Master,.,.,.,.,.,IM
FM Agil Pirverdiyev,None,"['English (US), Türkçe, русский язык, Azərbaycanca, Español, العربية, 中文, हिन्दी, हिंदी, Português, Deutsch']",Baku,2411.0,2559,2341,None,None,Pirverdiyev Agil,"More than 20 years of experince, winning 100+ Open tournaments",l have IM students,chess commentator,A00-E99,"First lesson is trial lesson, we get to know each other",FM
GM Sergei Zhigalko,None,['русский язык'],Minsk,2695.0,3202,2754,None,None,♟Профессиональный шахматист,🏆Чемпион Европы по блицу среди мужчин (2017),♟По образованию - тренер по шахматам,Активный шахматный стример на YouTube,None,None,GM
IM Ortik Nigmatov,None,['русский язык'],Tashkent,2450.0,2691,2424,None,None,Я Нигматов Ортик из Узбекистана... Мне 23 года...,"Профессионально занимаюсь шахматами с 5 лет... На сегодняшний день я Международный мастер с рейтингом 2473, на пике было 2494... У меня есть 5 ГМ норм, только не хватает рейтинга для оформления...",На сегодняшний день Тренер и Ассистент одного перспективного Гроссмейстера с рейтингом +2600...,None,None,"Могу поделиться опытом, повысить уровень игры, улучшать тактических и стратегических навыков, работать над дебютном репертуаром...",IM
FM Mateusz Paszewski,None,"['English (US), Polski']",Częstochowa,2355.0,None,2605,None,None,"I am young, hard-working coach from Poland with FM title. I obtained FIDE instructor title in 2022. I am interested especially in competitive projects and ambitious players who want to surpass to their limits.  I can help you with building opening repertoire, analysing games but the mostly important all aspects of middlegames and decision making process.",I have played chess my whole life but last 10 years I dived a lot  deeper into world of chess. I played in many Polish Youth Championship and foreign tournaments as well as leagues. In 2018 i scored my first IM norm with my best performance 2591.,"I have been teaching chess in my city for 10 years already and my young pupils made huge progress to promote to Polish Championship and 1st Polish league.  In 2017 i became full time coach in my city, i have a lot of young students who started winning local tournaments and more serious tournament. In 2020 I found chess academy. ",working as a second of WIM Anna Warakomska(2nd place in Polish Women's Championship 2018)  and GM Grzegorz Nasuta and others polish GMs and WGMs,Strong understanding of middlegames and good calculations. A lot of patience and a lot of materials. Very wide and deep opening knowledge.,"I can adjust if you have any specific topic you want to improve, but if you have no wishes I will check your games and analyse them with you searching for weakness and trying to fix it. General middlegames topic and decision making is definitely on top of my priority list. If necessery I can help with building opening repertoire",FM
